,,0
Adlercreutzia equolifaciens,Anaerostipes hadrus 1,5.1447238924478405e-05
Adlercreutzia equolifaciens,Bifidobacterium longum,6.114470379514721e-05
Adlercreutzia equolifaciens,Blautia obeum,0.00028321934620411656
Adlercreutzia equolifaciens,Blautia sp. Marseille-P3087 / Ruminococcus sp. 2789STDY5608882,9.141930616726443e-05
Adlercreutzia equolifaciens,Blautia wexlerae,0.0003801649054911184
Adlercreutzia equolifaciens,Clostridium sp. 2789STDY5834920,6.018278873692234e-05
Adlercreutzia equolifaciens,Coprococcus comes,0.00010491100623687293
Adlercreutzia equolifaciens,Dialister invisus,4.5902950067174755e-05
Adlercreutzia equolifaciens,Dorea longicatena 1,7.161548236390037e-05
Adlercreutzia equolifaciens,Eubacterium hallii,0.00011353331339730648
Adlercreutzia equolifaciens,Firmicutes bacterium CAG:114,7.889012696809561e-05
Adlercreutzia equolifaciens,Firmicutes bacterium CAG:24 / Clostridium sp. 2789STDY5834869 & 2789STDY5834922,5.321558653925318e-05
Adlercreutzia equolifaciens,Firmicutes bacterium CAG:41 / Clostridium sp. 2789STDY5834935 & sp. 2789STDY5608853,0.00019671905051421722
Adlercreutzia equolifaciens,Gordonibacter urolithinfaciens,8.031584492550661e-05
Adlercreutzia equolifaciens,Ruminococcus bromii 2,6.263614502969676e-05
Adlercreutzia equolifaciens,Ruminococcus sp. 2789STDY5608817 / Eubacterium sp. 2789STDY5834872,0.00016987225738261414
Adlercreutzia equolifaciens,Ruminococcus sp. CAG:17 & Blautia sp. 2789STDY5608880,8.275703934513583e-05
Adlercreutzia equolifaciens,Streptococcus thermophilus,7.644340786431022e-05
Adlercreutzia equolifaciens,bacterium LF-3 / Coprobacillus sp. CAG:235,5.2903566386722894e-05
Adlercreutzia equolifaciens,unclassified Eggerthellaceae,5.8689897911023705e-05
Adlercreutzia equolifaciens,unclassified Oscillibacter,0.0001115924656895111
Akkermansia muciniphila,Akkermansia muciniphila,0.00011586113419021963
Akkermansia sp. CAG:344,Akkermansia sp. CAG:344,0.00014608777480707618
Alistipes inops == Tidjanibacter massiliensis,Alistipes inops == Tidjanibacter massiliensis,0.0005269238865979216
Alistipes onderdonkii,Alistipes onderdonkii,0.00010954848750122938
Alistipes putredinis,Alistipes putredinis,0.0007317045439583368
Alistipes shahii,Alistipes shahii,0.00014086633964509605
Alistipes sp. CAG:268,Alistipes sp. CAG:268,0.0001341609171246947
Allisonella histaminiformans,Allisonella histaminiformans,0.00011592666096259381
Anaeromassilibacillus sp. An250,Anaeromassilibacillus sp. An250,0.0001225057438706588
Anaeromassilibacillus sp. Marseille-P3371 & Clostridia bacterium UC5.1-1E11,Anaeromassilibacillus sp. Marseille-P3371 & Clostridia bacterium UC5.1-1E11,0.00014023385163350243
Anaerostipes caccae,Anaerostipes caccae,0.00043969780260317046
Anaerostipes hadrus 1,Adlercreutzia equolifaciens,5.144723892447843e-05
Anaerostipes hadrus 1,Collinsella aerofaciens,5.169084517872695e-05
Anaerostipes hadrus 1,Coprococcus comes,0.00014879153873268003
Anaerostipes hadrus 1,Dorea longicatena 1,5.654006291156289e-05
Anaerostipes hadrus 1,Eubacterium hallii,0.00026873337701886427
Anaerostipes hadrus 1,Firmicutes bacterium CAG:41 / Clostridium sp. 2789STDY5834935 & sp. 2789STDY5608853,7.57423387699047e-05
Anaerostipes hadrus 1,Fusicatenibacter saccharivorans,7.88407508364299e-05
Anaerostipes hadrus 1,Ruminococcus sp. 2789STDY5608817 / Eubacterium sp. 2789STDY5834872,4.819220246871793e-05
Anaerotruncus sp. CAG:528,Anaerotruncus sp. CAG:528,0.0001138169627435566
Bacillus sp. CAG:988,Bacillus sp. CAG:988,8.553400948611907e-05
Bacteroides caccae,Bacteroides caccae,7.012389366423885e-05
Bacteroides caccae,Bacteroides vulgatus,6.767324261307222e-05
Bacteroides caccae,Bifidobacterium longum,5.2297848396759655e-05
Bacteroides cellulosilyticus,Bacteroides cellulosilyticus,8.358663627933343e-05
Bacteroides clarus,Bacteroides clarus,9.080000360948599e-05
Bacteroides fragilis 1,Bacteroides fragilis 1,0.00017845549845630816
Bacteroides massiliensis,Bacteroides massiliensis,6.678725944897055e-05
Bacteroides ovatus,Bacteroides ovatus,0.00031906387629185003
Bacteroides sp. CAG:443,Bacteroides sp. CAG:443,5.37304956200712e-05
Bacteroides stercoris,Bacteroides stercoris,0.0005473461740604225
Bacteroides thetaiotaomicron,Collinsella aerofaciens,4.736575481256331e-05
Bacteroides thetaiotaomicron,Eubacterium hallii,5.935988576989031e-05
Bacteroides uniformis,Bacteroides uniformis,0.00018025701928152298
Bacteroides uniformis,Parabacteroides distasonis,4.8015312085379546e-05
Bacteroides vulgatus,Bacteroides caccae,6.76732426130722e-05
Bacteroides vulgatus,Bacteroides vulgatus,0.0020049039842624885
Bacteroides vulgatus,Blautia massiliensis,6.473643297499907e-05
Bacteroides vulgatus,Gordonibacter urolithinfaciens,4.846338746117241e-05
Bacteroides vulgatus,Ruminococcus sp. Marseille-P328 / Blautia sp. 2789STDY5608844 & sp. 2789STDY5608844,0.0001531071890767821
Bacteroides vulgatus,bacterium LF-3 / Coprobacillus sp. CAG:235,9.713839613321854e-05
Bacteroides vulgatus,unclassified,6.28565907330973e-05
Bacteroides vulgatus,unclassified Prevotella,6.306203125750501e-05
Bifidobacterium animalis,Bifidobacterium animalis,7.696207230260313e-05
Bifidobacterium longum,Adlercreutzia equolifaciens,6.114470379514721e-05
Bifidobacterium longum,Bacteroides caccae,5.229784839675967e-05
Bifidobacterium longum,Odoribacter splanchnicus,5.759878419452886e-05
Bilophila wadsworthia,Bilophila wadsworthia,0.00014518711178056624
Blastocystis sp. subtype 1,Blastocystis sp. subtype 1,4.982310792261955e-05
Blautia hydrogenotrophica,Blautia hydrogenotrophica,0.00014726509310464535
Blautia massiliensis,Bacteroides vulgatus,6.473643297499906e-05
Blautia massiliensis,Coprococcus comes,6.313057093440286e-05
Blautia massiliensis,Fusicatenibacter saccharivorans,0.00010104013073159358
Blautia massiliensis,Ruminococcus sp. Marseille-P328 / Blautia sp. 2789STDY5608844 & sp. 2789STDY5608844,5.4390438720082906e-05
Blautia massiliensis,unclassified Ruminococcaceae,7.948793725621735e-05
Blautia obeum,Adlercreutzia equolifaciens,0.0002832193462041164
Blautia obeum,Blautia wexlerae,0.00022405871037333195
Blautia obeum,Clostridium sp. 2789STDY5834920,5.286397603969413e-05
Blautia obeum,Coprococcus comes,5.8624933219449586e-05
Blautia obeum,Dorea sp. CAG:105,6.297149434645798e-05
Blautia obeum,Eubacterium hallii,0.000145575127116913
Blautia obeum,Gordonibacter urolithinfaciens,6.19068868560645e-05
Blautia obeum,Ruminococcus faecis,0.00014210671387914004
Blautia obeum,bacterium LF-3 / Coprobacillus sp. CAG:235,5.4099000582058224e-05
Blautia producta,Blautia producta,0.00033706383089730866
Blautia sp. CAG:257,Blautia sp. CAG:257,0.0001025952524592348
Blautia sp. CAG:257,Streptococcus mitis,5.7088338236648636e-05
Blautia sp. CAG:52 & sp. 2789STDY5834917,Blautia wexlerae,6.720421673855782e-05
Blautia sp. Marseille-P3087 / Ruminococcus sp. 2789STDY5608882,Adlercreutzia equolifaciens,9.14193061672645e-05
Blautia sp. Marseille-P3087 / Ruminococcus sp. 2789STDY5608882,Ruminococcus sp. Marseille-P328 / Blautia sp. 2789STDY5608844 & sp. 2789STDY5608844,0.0001341146429222794
Blautia wexlerae,Adlercreutzia equolifaciens,0.0003801649054911184
Blautia wexlerae,Blautia obeum,0.000224058710373332
Blautia wexlerae,Blautia sp. CAG:52 & sp. 2789STDY5834917,6.720421673855781e-05
Blautia wexlerae,Butyricicoccus sp. N15.MGS-46 & N54.MGS-46 & K4410.MGS-46,9.401063412594815e-05
Blautia wexlerae,Coprococcus comes,4.9202715875841036e-05
Blautia wexlerae,Dorea longicatena 1,5.890506131007426e-05
Blautia wexlerae,Dorea sp. CAG:105,0.00018505561432095578
Blautia wexlerae,Eubacterium eligens,6.050880624004415e-05
Blautia wexlerae,Eubacterium hallii,6.327074337681899e-05
Blautia wexlerae,Eubacterium rectale,4.7912702151753845e-05
Blautia wexlerae,Firmicutes bacterium CAG:114,7.043471341406148e-05
Blautia wexlerae,Firmicutes bacterium CAG:41 / Clostridium sp. 2789STDY5834935 & sp. 2789STDY5608853,9.514795818646129e-05
Blautia wexlerae,bacterium LF-3 / Coprobacillus sp. CAG:235,5.537850558071876e-05
Butyricicoccus sp. N15.MGS-46 & N54.MGS-46 & K4410.MGS-46,Blautia wexlerae,9.401063412594815e-05
Butyricicoccus sp. N15.MGS-46 & N54.MGS-46 & K4410.MGS-46,Butyricicoccus sp. N15.MGS-46 & N54.MGS-46 & K4410.MGS-46,0.00024546084657834467
Butyricicoccus sp. N15.MGS-46 & N54.MGS-46 & K4410.MGS-46,Dorea longicatena 1,5.7780355339428616e-05
Butyricicoccus sp. N15.MGS-46 & N54.MGS-46 & K4410.MGS-46,Fusicatenibacter saccharivorans,7.540615871820828e-05
Butyricicoccus sp. N15.MGS-46 & N54.MGS-46 & K4410.MGS-46,Gemmiger formicilis,4.941491821730919e-05
Butyricicoccus sp. N15.MGS-46 & N54.MGS-46 & K4410.MGS-46,Parabacteroides distasonis,5.720790771800259e-05
Butyricicoccus sp. N15.MGS-46 & N54.MGS-46 & K4410.MGS-46,bacterium LF-3 / Coprobacillus sp. CAG:235,7.918567583887925e-05
Butyrivibrio crossotus,Butyrivibrio crossotus,7.962756228317972e-05
Clostridiales bacterium UBA643,Clostridiales bacterium UBA643,0.00011599623624355284
Clostridium asparagiforme == lavalense,Clostridium asparagiforme == lavalense,9.838792972234136e-05
Clostridium bolteae,Clostridium bolteae,0.000730369338837671
Clostridium citroniae,Clostridium citroniae,0.00021929736370045227
Clostridium clostridioforme 1,Clostridium clostridioforme 1,0.00022830700203810191
Clostridium clostridioforme 2,Clostridium clostridioforme 2,0.00014522113324595302
Clostridium innocuum,Clostridium innocuum,0.0006665291980611361
Clostridium perfringens,Clostridium perfringens,4.972423619386441e-05
Clostridium scindens 1,Clostridium scindens 1,0.0004426301844941643
Clostridium scindens 2,Clostridium scindens 2,8.051624228998651e-05
Clostridium sp. 2789STDY5834920,Adlercreutzia equolifaciens,6.018278873692234e-05
Clostridium sp. 2789STDY5834920,Blautia obeum,5.2863976039694134e-05
Clostridium sp. 2789STDY5834920,Eubacterium hallii,6.646954347955048e-05
Clostridium sp. 27_14,Clostridium sp. 27_14,0.0001281905576474633
Clostridium sp. 29_15 & CAG:265,Clostridium sp. 29_15 & CAG:265,4.807581457397124e-05
Clostridium sp. CAG:138,Clostridium sp. CAG:138,0.00011187060081625212
Clostridium sp. CAG:169,Clostridium sp. CAG:169,0.00010739128032612927
Clostridium sp. CAG:217,Clostridium sp. CAG:217,8.031874298124196e-05
Clostridium sp. CAG:221,Clostridium sp. CAG:221,8.827739328705425e-05
Clostridium sp. CAG:230,Clostridium sp. CAG:230,4.773546447875653e-05
Clostridium sp. CAG:269,Clostridium sp. CAG:269,0.00010644471892668851
Clostridium sp. CAG:343,Clostridium sp. CAG:343,6.0146477968330614e-05
Clostridium sp. CAG:352 / Ruminicoccus sp. 2789STDY5834969 & sp. 2789STDY5608859,Clostridium sp. CAG:352 / Ruminicoccus sp. 2789STDY5834969 & sp. 2789STDY5608859,0.00029560187711057746
Clostridium sp. CAG:43,Clostridium sp. CAG:43,0.0005661213887473991
Clostridium sp. CAG:465,Clostridium sp. CAG:465,7.682150064996089e-05
Clostridium sp. CAG:508,Clostridium sp. CAG:508,0.00010621914585276467
Clostridium sp. CAG:590,Clostridium sp. CAG:590,4.708349661346509e-05
Clostridium sp. CAG:62,Clostridium sp. CAG:62,5.641965286932526e-05
Clostridium sp. CAG:62,Coprococcus comes,5.47909880624671e-05
Clostridium sp. CAG:7,Clostridium sp. CAG:7,6.273296201394413e-05
Clostridium sp. CAG:914,Clostridium sp. CAG:914,5.816897615461651e-05
Clostridium sp. KLE 1755 & Clostridiales bacterium VE202-27,Clostridium sp. KLE 1755 & Clostridiales bacterium VE202-27,0.0002982814296932422
Clostridium sp. L2-50,Clostridium sp. L2-50,6.362698900737664e-05
Clostridium spiroforme,Clostridium spiroforme,0.00010208136970613547
Clostridium symbiosum,Clostridium symbiosum,0.0003818262734964762
Collinsella aerofaciens,Anaerostipes hadrus 1,5.169084517872696e-05
Collinsella aerofaciens,Bacteroides thetaiotaomicron,4.7365754812563335e-05
Collinsella aerofaciens,Collinsella aerofaciens,0.0008301659448524789
Collinsella aerofaciens,Dorea longicatena 1,4.935819218192511e-05
Collinsella aerofaciens,unclassified Clostridium,5.5372365568889184e-05
Collinsella aerofaciens,unclassified Ruminococcaceae,6.056601115757807e-05
Collinsella bouchesdurhonensis,Collinsella bouchesdurhonensis,5.485885317140215e-05
Collinsella intestinalis,Collinsella intestinalis,0.00019317548628751074
Coprococcus catus,Coprococcus catus,0.0004369838940996698
Coprococcus catus,Firmicutes bacterium CAG:41 / Clostridium sp. 2789STDY5834935 & sp. 2789STDY5608853,6.85534929883409e-05
Coprococcus comes,Adlercreutzia equolifaciens,0.00010491100623687286
Coprococcus comes,Anaerostipes hadrus 1,0.00014879153873268
Coprococcus comes,Blautia massiliensis,6.313057093440285e-05
Coprococcus comes,Blautia obeum,5.862493321944957e-05
Coprococcus comes,Blautia wexlerae,4.920271587584104e-05
Coprococcus comes,Clostridium sp. CAG:62,5.479098806246712e-05
Coprococcus comes,Gemmiger formicilis,5.4452817716186606e-05
Coprococcus comes,Gordonibacter urolithinfaciens,4.730324596024594e-05
Coprococcus comes,Ruminococcus faecis,0.00022063243328163232
Coprococcus comes,unclassified Blautia,7.08837427017981e-05
Coprococcus comes,unclassified Clostridium,5.330071272033738e-05
Coprococcus sp. HPP0074 & HPP0048 / Lachnospiraceae bacterium 9_1_43BFAA & 6_1_37FAA,Coprococcus sp. HPP0074 & HPP0048 / Lachnospiraceae bacterium 9_1_43BFAA & 6_1_37FAA,0.00029899783926332736
Cryptobacterium sp. CAG:338,Cryptobacterium sp. CAG:338,0.0001574874642574791
Dialister invisus,Adlercreutzia equolifaciens,4.5902950067174755e-05
Dialister sp. CAG:357,Dialister sp. CAG:357,7.410470365325447e-05
Dielma fastidiosa,Dielma fastidiosa,5.583527891575995e-05
Dorea formicigenerans,Dorea formicigenerans,0.00014694533825159527
Dorea longicatena 1,Adlercreutzia equolifaciens,7.161548236390037e-05
Dorea longicatena 1,Anaerostipes hadrus 1,5.654006291156293e-05
Dorea longicatena 1,Blautia wexlerae,5.890506131007437e-05
Dorea longicatena 1,Butyricicoccus sp. N15.MGS-46 & N54.MGS-46 & K4410.MGS-46,5.778035533942856e-05
Dorea longicatena 1,Collinsella aerofaciens,4.9358192181925075e-05
Dorea longicatena 1,Eubacterium hallii,7.157960066160914e-05
Dorea longicatena 1,Ruminococcus faecis,8.196318105532232e-05
Dorea longicatena 1,bacterium LF-3 / Coprobacillus sp. CAG:235,4.790289604080644e-05
Dorea longicatena 1,unclassified Blautia,7.131302481856046e-05
Dorea longicatena 1,unclassified Ruminococcaceae,8.757284632449612e-05
Dorea longicatena 2,Dorea longicatena 2,0.0001979948872907137
Dorea sp. CAG:105,Blautia obeum,6.297149434645794e-05
Dorea sp. CAG:105,Blautia wexlerae,0.00018505561432095578
Dorea sp. CAG:105,Parabacteroides distasonis,7.877074616939987e-05
Eggerthella lenta,Ruminococcus sp. Marseille-P328 / Blautia sp. 2789STDY5608844 & sp. 2789STDY5608844,7.827795054908565e-05
Eggerthella sp. 51_9 & CAG:209,Eggerthella sp. 51_9 & CAG:209,0.00010003728278866127
Eggerthella sp. 51_9 & CAG:209,Ruminococcus bromii 2,6.3484231534689e-05
Eggerthella sp. CAG:298,Eggerthella sp. CAG:298,7.95885724225152e-05
Eisenbergiella tayi,Eisenbergiella tayi,6.725913000661173e-05
Enterobacter xiangfangensis,Enterobacter xiangfangensis,0.00015084146647509515
Erysipelotrichaceae bacterium 5_2_54FAA / Eubacterium sp. 3_1_31,Erysipelotrichaceae bacterium 5_2_54FAA / Eubacterium sp. 3_1_31,0.0001362050662968614
Escherichia coli,Escherichia coli,5.1384304776136553e-05
Eubacterium dolichum,Eubacterium dolichum,0.00011483124708573807
Eubacterium eligens,Blautia wexlerae,6.0508806240044125e-05
Eubacterium hallii,Adlercreutzia equolifaciens,0.00011353331339730642
Eubacterium hallii,Anaerostipes hadrus 1,0.00026873337701886427
Eubacterium hallii,Bacteroides thetaiotaomicron,5.9359885769890316e-05
Eubacterium hallii,Blautia obeum,0.000145575127116913
Eubacterium hallii,Blautia wexlerae,6.327074337681903e-05
Eubacterium hallii,Clostridium sp. 2789STDY5834920,6.646954347955047e-05
Eubacterium hallii,Dorea longicatena 1,7.157960066160918e-05
Eubacterium hallii,Firmicutes bacterium CAG:114,4.994467509297766e-05
Eubacterium hallii,Gordonibacter urolithinfaciens,4.799375246028316e-05
Eubacterium hallii,Ruminococcus bromii 2,5.168243225368068e-05
Eubacterium hallii,Ruminococcus faecis,0.00012617644857787396
Eubacterium hallii,Streptococcus thermophilus,7.405206700472691e-05
Eubacterium hallii,bacterium LF-3 / Coprobacillus sp. CAG:235,6.575259976884872e-05
Eubacterium rectale,Blautia wexlerae,4.7912702151753845e-05
Eubacterium rectale,Eubacterium rectale,0.00019612401845907397
Eubacterium siraeum,Eubacterium siraeum,0.0001394763531675471
